Time,ADC,DAC
0.0,0.0,-0.5193560692759595
0.001,-0.49414816510261694,-0.46292820630197606
0.002,-0.5000076295109483,-0.5571374074921798
0.003,-0.49414816510261694,-0.47705806057831696
0.004,-0.4980544747081712,-0.5060196841382467
0.005,-0.4980544747081712,-0.5215228503852903
0.006,-0.4961013199053941,-0.4928053711757076
0.007,-0.4980544747081712,-0.5039139391165026
0.008,-0.4980544747081712,-0.5009842069123369
0.009000000000000001,-0.4980544747081712,-0.5027542534523537
0.01,-0.4980544747081712,-0.502937361715114
0.011,-0.4980544747081712,-0.5036392767223621
0.012,-0.4980544747081712,-0.5041886015106432
0.013000000000000001,-0.4980544747081712,-0.504798962386511
0.014,-0.4980544747081712,-0.4809948882276646
0.015,-0.5000076295109483,-0.5384298466468299
0.016,-0.4961013199053941,-0.4705882352941176
0.017,-0.5000076295109483,-0.5190814068818189
0.018000000000000002,-0.4980544747081712,-0.4785839627679866
0.019,-0.5000076295109483,-0.517219806210422
0.02,-0.4980544747081712,-0.5043717097734035
0.021,-0.4980544747081712,-0.4850537880521858
0.022,-0.5000076295109483,-0.5166094453345541
0.023,-0.4980544747081712,-0.48175783932249944
0.024,-0.5000076295109483,-0.5185015640497445
0.025,-0.4980544747081712,-0.4819104295414664
0.026000000000000002,-0.5000076295109483,-0.5192339971007859
0.027,-0.4980544747081712,-0.4824292362859541
0.028,-0.5000076295109483,-0.5198443579766537
0.029,-0.4980544747081712,-0.48300907911802854
0.03,-0.5000076295109483,-0.5204242008087282
0.031,-0.4980544747081712,-0.483588921950103
0.032,-0.5000076295109483,-0.4966201266498817
0.033,-0.5000076295109483,-0.5166704814221409
0.034,-0.4980544747081712,-0.4856336308842603
0.035,-0.5000076295109483,-0.49671168078126193
0.036000000000000004,-0.5000076295109483,-0.5174029144731823
0.037,-0.4980544747081712,-0.486152437628748
0.038,-0.5000076295109483,-0.4973220416571298
0.039,-0.5000076295109483,-0.5179827573052568
0.04,-0.4980544747081712,-0.462378881513695
0.041,-0.5019607843137255,-0.5304036011291676
0.042,-0.4980544747081712,0.9999847409781033
0.043000000000000003,-0.5000076295109483,0.9999847409781033
