Time,ADC,DAC
0.0,0.0,-0.001953154802777142
0.001,-0.4980544747081712,-0.001953154802777142
0.002,-0.4980544747081712,0.0
0.003,-0.5000076295109483,-0.001953154802777142
0.004,-0.4980544747081712,-0.001953154802777142
0.005,-0.4980544747081712,0.0
0.006,-0.5000076295109483,-0.001953154802777142
0.007,-0.4980544747081712,-0.001953154802777142
0.008,-0.4980544747081712,0.0
0.009000000000000001,-0.5000076295109483,-0.001953154802777142
0.01,-0.4980544747081712,0.0
0.011,-0.5000076295109483,-0.001953154802777142
0.012,-0.4980544747081712,0.0
0.013000000000000001,-0.5000076295109483,-0.001953154802777142
0.014,-0.4980544747081712,0.0
0.015,-0.5000076295109483,-0.001953154802777142
0.016,-0.4980544747081712,0.0
0.017,-0.5000076295109483,0.0
0.018000000000000002,-0.5000076295109483,-0.001953154802777142
0.019,-0.4980544747081712,0.0
0.02,-0.5000076295109483,0.0
0.021,-0.5000076295109483,-0.001953154802777142
0.022,-0.4980544747081712,0.0
0.023,-0.5000076295109483,0.0
0.024,-0.5000076295109483,-0.001953154802777142
0.025,-0.4980544747081712,0.001953154802777142
0.026000000000000002,-0.5019607843137255,-0.001953154802777142
0.027,-0.4980544747081712,0.0
0.028,-0.5000076295109483,0.0
0.029,-0.5000076295109483,0.0
0.03,-0.5000076295109483,-0.001953154802777142
0.031,-0.4980544747081712,0.0
0.032,-0.5000076295109483,0.9999847409781033
0.033,-0.5000076295109483,0.8379034103913938
0.034,-0.33789578088044553,0.6191500724803539
0.035,-0.11914244296940567,0.4277409018081941
0.036000000000000004,0.07226672770275426,0.2695353627832456
0.037,0.23047226672770277,0.14062714579995422
0.038,0.35938048371099407,0.03125047684443427
0.039,0.468757152666514,-0.003906309605554284
0.04,0.5039139391165026,0.003906309605554284
0.041,0.4961013199053941,0.003906309605554284
0.042,0.4961013199053941,-0.001953154802777142
0.043000000000000003,0.5019607843137255,0.003906309605554284
0.044,0.4961013199053941,0.0
0.045,0.5000076295109483,0.0
0.046,0.5000076295109483,0.001953154802777142
0.047,0.4980544747081712,0.0
0.048,0.5000076295109483,0.001953154802777142
0.049,0.4980544747081712,-0.001953154802777142
0.05,0.5019607843137255,0.001953154802777142
0.051000000000000004,0.4980544747081712,0.0
0.052000000000000005,0.5000076295109483,0.0
0.053,0.5000076295109483,0.0
0.054,0.5000076295109483,0.001953154802777142
0.055,0.4980544747081712,-0.001953154802777142
0.056,0.5019607843137255,0.001953154802777142
0.057,0.4980544747081712,-0.001953154802777142
0.058,0.5019607843137255,0.001953154802777142
0.059000000000000004,0.4980544747081712,0.0
0.06,0.5000076295109483,-0.001953154802777142
0.061,0.5019607843137255,0.001953154802777142
0.062,0.4980544747081712,0.0
0.063,0.5000076295109483,-0.001953154802777142
0.064,0.5019607843137255,0.001953154802777142
0.065,0.4980544747081712,0.0
0.066,0.5000076295109483,-0.001953154802777142
0.067,0.5019607843137255,0.001953154802777142
0.068,0.4980544747081712,0.0
0.069,0.5000076295109483,-0.001953154802777142
0.07,0.5019607843137255,0.001953154802777142
0.07100000000000001,0.4980544747081712,-0.001953154802777142
0.07200000000000001,0.5019607843137255,0.001953154802777142
0.073,0.4980544747081712,-0.001953154802777142
0.074,0.5019607843137255,0.001953154802777142
0.075,0.4980544747081712,-0.001953154802777142
0.076,0.5019607843137255,0.0
0.077,0.5000076295109483,0.001953154802777142
0.078,0.4980544747081712,-0.001953154802777142
0.079,0.5019607843137255,0.0
0.08,0.5000076295109483,0.0
0.081,0.5000076295109483,0.0
0.082,0.5000076295109483,0.0
0.083,0.5000076295109483,-1.0000152590218967
0.084,0.5000076295109483,-0.8281376363775081
0.085,0.32813000686655985,-0.605477988860914
0.08600000000000001,0.10547035934996567,-0.41602197299153126
0.08700000000000001,-0.08398565651941711,-0.2636758983749142
0.088,-0.23633173113603417,-0.13672083619439995
0.089,-0.3632867933165484,-0.033203631647211414
0.09,-0.46680399786373694,0.003906309605554284
0.091,-0.5039139391165026,-0.005859464408331426
0.092,-0.49414816510261694,-0.005859464408331426
0.093,-0.49414816510261694,0.0
0.094,-0.5000076295109483,-0.003906309605554284
0.095,-0.4961013199053941,-0.003906309605554284
0.096,-0.4961013199053941,0.0
0.097,-0.5000076295109483,-0.003906309605554284
0.098,-0.4961013199053941,-0.001953154802777142
0.099,-0.4980544747081712,-0.001953154802777142
0.1,-0.4980544747081712,-0.001953154802777142
0.101,-0.4980544747081712,-0.001953154802777142
0.10200000000000001,-0.4980544747081712,-0.001953154802777142
0.10300000000000001,-0.4980544747081712,-0.001953154802777142
0.10400000000000001,-0.4980544747081712,0.0
