Time,ADC,DAC
0.0,0.687510490577554,0.8632944228274968
0.001,0.687510490577554,0.8632944228274968
0.002,0.7148546578164339,0.6855573357747767
0.003,0.7382925154497596,0.6855573357747767
0.004,0.7363393606469826,0.6855573357747767
0.005,0.7265735866330968,0.6855573357747767
0.006,0.7168078126192111,0.6855573357747767
0.007,0.7089951934081025,0.6855573357747767
0.008,0.7031357289997712,0.6855573357747767
0.009,0.6992294193942168,0.6855573357747767
0.01,0.6953231097886624,0.6855573357747767
0.011,0.6933699549858854,0.6855573357747767
0.012,0.6894636453803311,-0.6777447165636683
0.013,0.687510490577554,-0.6777447165636683
0.014,0.5332112611581596,-0.6777447165636683
0.015,0.33594262607766834,-0.6777447165636683
0.016,0.16601815823605698,-0.6777447165636683
0.017,0.02734416723887988,-0.6777447165636683
0.018,-0.08593881132219418,-0.6777447165636683
0.019,-0.17969024185549698,-0.6777447165636683
0.02,-0.25781643396658266,-0.6777447165636683
0.021,-0.3222705424582284,-0.6777447165636683
0.022,-0.37500572213321126,-0.6543068589303426
0.023,-0.42188143739986267,-0.6543068589303426
0.024,-0.45703822384985116,-0.6543068589303426
0.025,-0.4863355458915083,-0.6543068589303426
0.026,-0.5097734035248339,-0.6543068589303426
0.027,-0.5312581063553825,-0.6543068589303426
0.028,-0.5468833447775998,-0.6543068589303426
0.029,-0.5625085831998169,-0.6543068589303426
0.03,-0.5742275120164797,-0.6543068589303426
0.031,-0.5859464408331425,-0.6543068589303426
0.032,-0.5937590600442512,-0.660166323338674
0.033,-0.6035248340581368,-0.660166323338674
0.034,-0.6093842984664682,-0.660166323338674
0.035,-0.6152437628747998,-0.660166323338674
0.036,-0.6211032272831312,-0.660166323338674
0.037,-0.6269626916914626,-0.660166323338674
0.038,-0.6308690012970168,-0.660166323338674
0.039,-0.632822156099794,-0.660166323338674
0.04,-0.6367284657053482,-0.660166323338674
0.041,-0.6386816205081253,-0.660166323338674
0.042,-0.6425879301136797,-0.42969405661097126
0.043,-0.6425879301136797,-0.42969405661097126
0.044,-0.6211032272831312,-0.42969405661097126
0.045,-0.5898527504386969,-0.42969405661097126
0.046,-0.5625085831998169,-0.42969405661097126
0.047,-0.5410238803692683,-0.42969405661097126
0.048,-0.5214923323414968,-0.42969405661097126
0.049,-0.5078202487220569,-0.42969405661097126
0.05,-0.49414816510261694,-0.42969405661097126
0.051,-0.48438239108873116,-0.42969405661097126
0.052,-0.4746166170748455,0.2519569695582513
0.053,-0.46875715266651397,0.2519569695582513
0.054,-0.39258411535820553,0.2519569695582513
0.055,-0.29102006561379407,0.2519569695582513
0.056,-0.20312809948882268,0.2519569695582513
0.057,-0.1308613717860685,0.2519569695582513
0.058,-0.0703135728999771,0.2519569695582513
0.059,-0.017578393224994184,0.2519569695582513
0.06,0.0234378576333257,0.2519569695582513
0.061,0.060547798886091395,0.2519569695582513
0.062,0.08984512092774849,-0.3105516136415656
