Time,ADC,DAC
0.0,-0.4707174901577807,-0.49415570543534654
0.001,-0.47657704397717215,-0.4980620746482742
0.002,-0.4804834131900998,-0.4980620746482742
0.003,-0.48438978240302744,-0.4980620746482742
0.004,-0.48634296700949126,-0.500015259254738
0.005,-0.4902493362224189,-0.500015259254738
0.006,-0.4902493362224189,-0.500015259254738
0.007,-0.4922025208288827,-0.500015259254738
0.008,-0.4922025208288827,-0.500015259254738
0.009000000000000001,-0.49415570543534654,-0.500015259254738
0.01,-0.49415570543534654,-0.500015259254738
0.011,-0.49415570543534654,-0.500015259254738
0.012,-0.49415570543534654,-0.500015259254738
0.013000000000000001,-0.49610889004181036,-0.5019684438612019
0.014,-0.49610889004181036,-0.5019684438612019
0.015,-0.49610889004181036,-0.500015259254738
0.016,-0.49610889004181036,-0.5019684438612019
0.017,-0.49610889004181036,-0.500015259254738
0.018000000000000002,-0.4980620746482742,-0.5019684438612019
0.019,-0.4980620746482742,-0.500015259254738
0.02,-0.4980620746482742,-0.500015259254738
0.021,-0.4980620746482742,-0.500015259254738
0.022,-0.4980620746482742,-0.5019684438612019
0.023,-0.4980620746482742,-0.5019684438612019
0.024,-0.500015259254738,-0.5019684438612019
0.025,-0.4980620746482742,-0.500015259254738
0.026000000000000002,-0.4980620746482742,-0.500015259254738
0.027,-0.4980620746482742,-0.5019684438612019
0.028,-0.4980620746482742,-0.5019684438612019
0.029,-0.500015259254738,-0.5019684438612019
0.03,-0.4980620746482742,-0.500015259254738
0.031,-0.4980620746482742,-0.5019684438612019
0.032,-0.500015259254738,-0.5019684438612019
0.033,-0.500015259254738,-0.500015259254738
0.034,-0.500015259254738,-0.500015259254738
0.035,-0.500015259254738,-0.500015259254738
0.036000000000000004,-0.500015259254738,-0.500015259254738
0.037,-0.500015259254738,-0.500015259254738
0.038,-0.500015259254738,-0.500015259254738
0.039,-0.3554795983764153,0.11914426099429304
0.04,-0.15234839930417798,0.3164159062471389
0.041,0.021485030671102023,0.41993469038972137
0.042,0.15234839930417798,0.44727927488021485
0.043000000000000003,0.24610126041444136,0.4609515671254616
0.044,0.31446272164067507,0.4687643055513169
0.045,0.3632923368022706,0.47657704397717215
0.046,0.39844965971861934,0.4824365977965636
0.047,0.4218878749961852,0.48634296700949126
0.048,0.43946653645435957,0.4882961516159551
0.049,0.45509201330607013,0.4922025208288827
0.05,0.46485793633838923,0.4922025208288827
0.051000000000000004,0.4707174901577807,0.4922025208288827
0.052000000000000005,0.47657704397717215,0.49415570543534654
