Time,ADC,DAC
0.0,0.0,-0.41250629434653235
0.001,-0.407672236209659,-0.41250629434653235
0.002,-0.41089494163424123,-0.41250629434653235
0.003,-0.41089494163424123,-0.41250629434653235
0.004,-0.4092835889219501,-0.41250629434653235
0.005,-0.41089494163424123,-0.41250629434653235
0.006,-0.41089494163424123,-0.41250629434653235
0.007,-0.41089494163424123,-0.41250629434653235
0.008,-0.41089494163424123,-0.41250629434653235
0.009000000000000001,-0.41089494163424123,-0.41250629434653235
0.01,-0.41089494163424123,-0.41250629434653235
0.011,-0.41089494163424123,-0.41250629434653235
0.012,-0.41089494163424123,-0.41250629434653235
0.013000000000000001,-0.41250629434653235,-0.41250629434653235
0.014,-0.41089494163424123,-0.41250629434653235
0.015,-0.41089494163424123,-0.41250629434653235
0.016,-0.41089494163424123,-0.41250629434653235
0.017,-0.41250629434653235,-0.41250629434653235
0.018000000000000002,-0.41089494163424123,-0.41250629434653235
0.019,-0.41250629434653235,-0.41250629434653235
0.02,-0.41089494163424123,-0.41250629434653235
0.021,-0.41089494163424123,-0.41250629434653235
0.022,-0.41250629434653235,-0.41250629434653235
0.023,-0.41089494163424123,-0.41250629434653235
0.024,-0.41250629434653235,-0.41250629434653235
0.025,-0.41250629434653235,-0.41250629434653235
0.026000000000000002,-0.41089494163424123,-0.41250629434653235
0.027,-0.41250629434653235,-0.41250629434653235
0.028,-0.41089494163424123,-0.41250629434653235
0.029,-0.41250629434653235,-0.41250629434653235
0.03,-0.41250629434653235,-0.41250629434653235
0.031,-0.41089494163424123,-0.41250629434653235
0.032,-0.41250629434653235,-0.41250629434653235
0.033,-0.41250629434653235,-0.41250629434653235
0.034,-0.41089494163424123,-0.41250629434653235
0.035,-0.41250629434653235,-0.41250629434653235
0.036000000000000004,-0.41250629434653235,-0.41250629434653235
0.037,-0.41089494163424123,-0.41250629434653235
0.038,-0.41250629434653235,-0.41250629434653235
0.039,-0.41250629434653235,-0.41250629434653235
0.04,-0.41250629434653235,0.41250629434653235
0.041,-0.41089494163424123,0.41250629434653235
0.042,-0.27715266651407644,0.41250629434653235
0.043000000000000003,-0.09506981002517739,0.41250629434653235
0.044,0.06284275577935454,0.41250629434653235
0.045,0.19336232547493704,0.41250629434653235
0.046,0.30132295719844354,0.41250629434653235
0.047,0.3915587090867475,0.41250629434653235
0.048,0.4141176470588235,0.41250629434653235
0.049,0.407672236209659,0.41250629434653235
0.05,0.41089494163424123,0.41250629434653235
0.051000000000000004,0.41089494163424123,0.41250629434653235
0.052000000000000005,0.41089494163424123,0.41250629434653235
0.053,0.41089494163424123,0.41250629434653235
0.054,0.41250629434653235,0.41250629434653235
0.055,0.41089494163424123,0.41250629434653235
0.056,0.41089494163424123,0.41250629434653235
0.057,0.41250629434653235,0.41250629434653235
0.058,0.41089494163424123,0.41250629434653235
0.059000000000000004,0.41250629434653235,0.41250629434653235
0.06,0.41250629434653235,0.41250629434653235
0.061,0.41089494163424123,0.41250629434653235
0.062,0.41250629434653235,0.41250629434653235
0.063,0.41250629434653235,0.41250629434653235
0.064,0.41089494163424123,0.41250629434653235
0.065,0.41250629434653235,0.41250629434653235
0.066,0.41250629434653235,0.41250629434653235
0.067,0.41089494163424123,0.41250629434653235
0.068,0.4141176470588235,0.41250629434653235
0.069,0.41089494163424123,0.41250629434653235
0.07,0.41250629434653235,0.41250629434653235
0.07100000000000001,0.41250629434653235,0.41250629434653235
